"bench","solver","instance","ert"
"rbv2_aknn","EA",40996,575.65
"rbv2_aknn","OP",40996,577.6
"rbv2_aknn","SM",40996,505.05
"rbv2_aknn","RS",4538,120000
"rbv2_aknn","EA",4538,570.6
"rbv2_aknn","OP",4538,585.85
"rbv2_aknn","SM",4538,252.05
"rbv2_aknn","RS",40978,120000
"rbv2_aknn","EA",40978,586.85
"rbv2_aknn","OP",40978,572.6
"rbv2_aknn","SM",40978,417.55
"rbv2_aknn","RS",375,120000
"rbv2_aknn","EA",375,587.75
"rbv2_aknn","OP",375,580.6
"rbv2_aknn","SM",375,271.25
"rbv2_aknn","RS",1111,120000
"rbv2_aknn","EA",1111,120000
"rbv2_aknn","OP",1111,120000
"rbv2_aknn","SM",1111,486.7
"rbv2_aknn","RS",40496,120000
"rbv2_aknn","EA",40496,589.3
"rbv2_aknn","OP",40496,546.75
"rbv2_aknn","SM",40496,295.8
"rbv2_aknn","RS",40966,120000
"rbv2_aknn","EA",40966,570.85
"rbv2_aknn","OP",40966,120000
"rbv2_aknn","SM",40966,215.25
"rbv2_aknn","RS",41150,120000
"rbv2_aknn","EA",41150,561.05
"rbv2_aknn","OP",41150,588.55
"rbv2_aknn","SM",41150,287
"rbv2_aknn","RS",4534,120000
"rbv2_aknn","EA",4534,584.2
"rbv2_aknn","OP",4534,581.1
"rbv2_aknn","SM",4534,449.85
"rbv2_aknn","RS",40900,120000
"rbv2_aknn","EA",40900,556.7
"rbv2_aknn","OP",40900,577.75
"rbv2_aknn","SM",40900,303.3
"rbv2_aknn","RS",40536,120000
"rbv2_aknn","EA",40536,570.45
"rbv2_aknn","OP",40536,120000
"rbv2_aknn","SM",40536,394.2
"rbv2_aknn","RS",41156,120000
"rbv2_aknn","EA",41156,545.45
"rbv2_aknn","OP",41156,586.35
"rbv2_aknn","SM",41156,288.8
"rbv2_aknn","RS",1590,120000
"rbv2_aknn","EA",1590,562.1
"rbv2_aknn","OP",1590,597.05
"rbv2_aknn","SM",1590,285.15
"rbv2_aknn","RS",1457,120000
"rbv2_aknn","EA",1457,577.25
"rbv2_aknn","OP",1457,596.75
"rbv2_aknn","SM",1457,441.4
"rbv2_aknn","RS",458,120000
"rbv2_aknn","EA",458,576.15
"rbv2_aknn","OP",458,120000
"rbv2_aknn","SM",458,404.15
"rbv2_aknn","RS",469,120000
"rbv2_aknn","EA",469,573.4
"rbv2_aknn","OP",469,572.7
"rbv2_aknn","SM",469,352.95
"rbv2_aknn","RS",41157,120000
"rbv2_aknn","EA",41157,594.95
"rbv2_aknn","OP",41157,545.35
"rbv2_aknn","SM",41157,252.35
"rbv2_aknn","RS",11,120000
"rbv2_aknn","EA",11,599.15
"rbv2_aknn","OP",11,583.7
"rbv2_aknn","SM",11,286.25
"rbv2_aknn","RS",1461,120000
"rbv2_aknn","EA",1461,578.85
"rbv2_aknn","OP",1461,576.4
"rbv2_aknn","SM",1461,369.2
"rbv2_aknn","RS",1462,120000
"rbv2_aknn","EA",1462,520.5
"rbv2_aknn","OP",1462,392.85
"rbv2_aknn","SM",1462,148.7
"rbv2_aknn","RS",1464,120000
"rbv2_aknn","EA",1464,591.45
"rbv2_aknn","OP",1464,509.15
"rbv2_aknn","SM",1464,264.1
"rbv2_aknn","RS",15,120000
"rbv2_aknn","EA",15,581.9
"rbv2_aknn","OP",15,597.8
"rbv2_aknn","SM",15,352.85
"rbv2_aknn","RS",40975,120000
"rbv2_aknn","EA",40975,594.65
"rbv2_aknn","OP",40975,545.5
"rbv2_aknn","SM",40975,290.9
"rbv2_aknn","RS",41142,120000
"rbv2_aknn","EA",41142,581.6
"rbv2_aknn","OP",41142,583.05
"rbv2_aknn","SM",41142,408.15
"rbv2_aknn","RS",40701,120000
"rbv2_aknn","EA",40701,565.2
"rbv2_aknn","OP",40701,580.05
"rbv2_aknn","SM",40701,253.4
"rbv2_aknn","RS",40994,120000
"rbv2_aknn","EA",40994,589.35
"rbv2_aknn","OP",40994,565.45
"rbv2_aknn","SM",40994,318.95
"rbv2_aknn","RS",23,120000
"rbv2_aknn","EA",23,580
"rbv2_aknn","OP",23,543.65
"rbv2_aknn","SM",23,474.5
"rbv2_aknn","RS",1468,120000
"rbv2_aknn","EA",1468,562.5
"rbv2_aknn","OP",1468,120000
"rbv2_aknn","SM",1468,323.75
"rbv2_aknn","RS",40668,120000
"rbv2_aknn","EA",40668,590
"rbv2_aknn","OP",40668,569.25
"rbv2_aknn","SM",40668,396.7
"rbv2_aknn","RS",29,120000
"rbv2_aknn","EA",29,569.85
"rbv2_aknn","OP",29,587.55
"rbv2_aknn","SM",29,298.45
"rbv2_aknn","RS",31,120000
"rbv2_aknn","EA",31,577.3
"rbv2_aknn","OP",31,592.3
"rbv2_aknn","SM",31,293.55
"rbv2_aknn","RS",6332,120000
"rbv2_aknn","EA",6332,582.45
"rbv2_aknn","OP",6332,592
"rbv2_aknn","SM",6332,202.7
"rbv2_aknn","RS",37,120000
"rbv2_aknn","EA",37,568.65
"rbv2_aknn","OP",37,585.8
"rbv2_aknn","SM",37,422.8
"rbv2_aknn","RS",4541,120000
"rbv2_aknn","EA",4541,560.95
"rbv2_aknn","OP",4541,596.4
"rbv2_aknn","SM",4541,478
"rbv2_aknn","RS",40670,120000
"rbv2_aknn","EA",40670,587.5
"rbv2_aknn","OP",40670,120000
"rbv2_aknn","SM",40670,462.4
"rbv2_aknn","RS",23381,120000
"rbv2_aknn","EA",23381,579.75
"rbv2_aknn","OP",23381,508.95
"rbv2_aknn","SM",23381,254.35
"rbv2_aknn","RS",151,120000
"rbv2_aknn","EA",151,578.25
"rbv2_aknn","OP",151,120000
"rbv2_aknn","SM",151,330.85
"rbv2_aknn","RS",188,120000
"rbv2_aknn","EA",188,577.3
"rbv2_aknn","OP",188,597.55
"rbv2_aknn","SM",188,282.55
"rbv2_aknn","RS",41164,120000
"rbv2_aknn","EA",41164,573.45
"rbv2_aknn","OP",41164,120000
"rbv2_aknn","SM",41164,543.6
"rbv2_aknn","RS",1475,120000
"rbv2_aknn","EA",1475,577.85
"rbv2_aknn","OP",1475,546.25
"rbv2_aknn","SM",1475,426.85
"rbv2_aknn","RS",1476,120000
"rbv2_aknn","EA",1476,582.4
"rbv2_aknn","OP",1476,585.85
"rbv2_aknn","SM",1476,308.4
"rbv2_aknn","RS",41159,120000
"rbv2_aknn","EA",41159,568.4
"rbv2_aknn","OP",41159,578.9
"rbv2_aknn","SM",41159,576.8
"rbv2_aknn","RS",1478,120000
"rbv2_aknn","EA",1478,589.9
"rbv2_aknn","OP",1478,599.85
"rbv2_aknn","SM",1478,260.6
"rbv2_aknn","RS",41169,120000
"rbv2_aknn","EA",41169,574.3
"rbv2_aknn","OP",41169,120000
"rbv2_aknn","SM",41169,424.65
"rbv2_aknn","RS",23512,120000
"rbv2_aknn","EA",23512,572.4
"rbv2_aknn","OP",23512,588.9
"rbv2_aknn","SM",23512,358.1
"rbv2_aknn","RS",1479,120000
"rbv2_aknn","EA",1479,546.85
"rbv2_aknn","OP",1479,507.85
"rbv2_aknn","SM",1479,218.55
"rbv2_aknn","RS",41212,120000
"rbv2_aknn","EA",41212,584.2
